Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.0006404549668074834,0.0007790901116183973,0.7509567652049298,7.18807314887509
1,t+1,B35_SO2,0.0004934488349327565,0.0007624323018802749,0.5801863664600804,26.436408070013407
2,t+2,B35_H2S,0.000626890777187548,0.0007494626497840377,0.7695523227101795,7.062457238168894
2,t+2,B35_SO2,0.00048141076836856906,0.0007309180219626259,0.6142579955836855,26.153977196797058
3,t+3,B35_H2S,0.0005819352121464053,0.000694407243382706,0.8022002550486768,6.565977755915528
3,t+3,B35_SO2,0.0004338419208422061,0.000678543821827414,0.6676364997196551,23.20356575369557
4,t+4,B35_H2S,0.0005819539458987604,0.0006868822560674346,0.8064881251156779,6.598181879760621
4,t+4,B35_SO2,0.00041817538353922475,0.0006638797183632953,0.6819343717618747,21.85789740386849
5,t+5,B35_H2S,0.0005732032685572955,0.0006781921409507948,0.8113954687700375,6.491443639980446
5,t+5,B35_SO2,0.0003972191047005848,0.0006384439292628697,0.705923474046096,20.414863667430335
6,t+6,B35_H2S,0.0005858251309140848,0.0006913412936506835,0.804041485165164,6.640756556088502
6,t+6,B35_SO2,0.0003976529217557596,0.0006364549938313843,0.7078424250853539,20.445310233314885
7,t+7,B35_H2S,0.0006016481509009703,0.0007048549321577541,0.7963433983606119,6.836098577361397
7,t+7,B35_SO2,0.0004218608915262608,0.0006628749182794207,0.6831770310191988,21.615957815620128
8,t+8,B35_H2S,0.0006050006862226584,0.0007044306982258994,0.7966567997710206,6.901100426967037
8,t+8,B35_SO2,0.0004350050729397182,0.0006840404573032761,0.6627142618171935,22.218828758836086
9,t+9,B35_H2S,0.0005929768083138427,0.0006904594637333333,0.8046939897142746,6.787036689730587
9,t+9,B35_SO2,0.000429272151225742,0.0006897395087266746,0.6571595260468914,21.57488913465305
10,t+10,B35_H2S,0.0005732686938031402,0.0006732968198966883,0.8143101043091625,6.553986550937135
10,t+10,B35_SO2,0.0004303779222487522,0.0006981179804789807,0.6488520987501906,21.607776795843204
11,t+11,B35_H2S,0.0005777321971058022,0.0006799043973875155,0.8106509081746636,6.600191355831783
11,t+11,B35_SO2,0.0004363189158710851,0.0007017340492127498,0.6452571242570908,22.119414226759076
12,t+12,B35_H2S,0.0005917363926242245,0.0006929762787216901,0.8032870081899899,6.771129792287995
12,t+12,B35_SO2,0.00044158083291385346,0.0006985207288187174,0.6485350797398091,22.490051739389813
13,t+13,B35_H2S,0.0005878190411453148,0.0006873452629003016,0.8064597694787833,6.741230828868229
13,t+13,B35_SO2,0.0004459615506367657,0.000705327106235858,0.6416817599123923,22.651479851521326
14,t+14,B35_H2S,0.0005819417442271104,0.0006786055227284554,0.8113399264359231,6.685587836406191
14,t+14,B35_SO2,0.0004441938717113598,0.0007089423719645892,0.638023220196752,22.37633218783873
15,t+15,B35_H2S,0.0005919402376893667,0.0006882534174674441,0.8059244260771683,6.804830062926009
15,t+15,B35_SO2,0.0004438784042565949,0.0007110569387716864,0.6358770609710516,22.418981637928024
16,t+16,B35_H2S,0.0005982405538884667,0.0006953732121958644,0.8018582140089359,6.880175248405096
16,t+16,B35_SO2,0.00044035454292174815,0.0007056051445994701,0.6414435008574504,22.339987220180568
17,t+17,B35_H2S,0.0006029104313359459,0.0007011705098113232,0.7984851227706532,6.93502852289492
17,t+17,B35_SO2,0.0004560161328515748,0.0007304302141926256,0.6157528000358905,22.98383297594524
18,t+18,B35_H2S,0.000562202867752387,0.0006666001922033355,0.8177823601341788,6.463549331856477
18,t+18,B35_SO2,0.0004658041255191382,0.0007536970021536541,0.5908533444886916,23.26630534439933
