epoch,target,mv,correct,total,kci_percent,ann_sign_avg,dynamic_positive_percent
1,B35_H2S,air2_SP,22.0,34.0,64.70588235294117,-0.29411764705882354,35.294117647058826
1,B35_H2S,HEATER2_output_T_SP,28.0,76.0,36.8421052631579,-0.8421052631578947,65.78947368421052
1,B35_SO2,air2_SP,72.0,80.0,90.0,1.0,90.0
1,B35_SO2,HEATER2_output_T_SP,33.0,72.0,45.833333333333336,-0.9444444444444444,56.94444444444444
2,B35_H2S,air2_SP,14.0,22.0,63.63636363636363,-0.6363636363636364,18.181818181818183
2,B35_H2S,HEATER2_output_T_SP,37.0,80.0,46.25,-0.75,58.75
2,B35_SO2,air2_SP,76.0,80.0,95.0,1.0,95.0
2,B35_SO2,HEATER2_output_T_SP,34.0,76.0,44.73684210526316,-0.8421052631578947,55.26315789473684
3,B35_H2S,air2_SP,13.0,32.0,40.625,0.125,3.125
3,B35_H2S,HEATER2_output_T_SP,41.0,78.0,52.56410256410256,-0.7948717948717948,50.0
3,B35_SO2,air2_SP,79.0,80.0,98.75,1.0,98.75
3,B35_SO2,HEATER2_output_T_SP,41.0,76.0,53.94736842105263,-0.8421052631578947,40.78947368421053
4,B35_H2S,air2_SP,18.0,38.0,47.36842105263158,0.05263157894736842,0.0
4,B35_H2S,HEATER2_output_T_SP,36.0,76.0,47.36842105263158,-0.7368421052631579,50.0
4,B35_SO2,air2_SP,79.0,80.0,98.75,1.0,98.75
4,B35_SO2,HEATER2_output_T_SP,55.0,74.0,74.32432432432432,-0.7837837837837838,28.37837837837838
5,B35_H2S,air2_SP,10.0,26.0,38.46153846153846,0.23076923076923078,0.0
5,B35_H2S,HEATER2_output_T_SP,42.0,80.0,52.5,-0.85,47.5
5,B35_SO2,air2_SP,78.0,80.0,97.5,1.0,97.5
5,B35_SO2,HEATER2_output_T_SP,66.0,80.0,82.5,-0.85,17.5
6,B35_H2S,air2_SP,18.0,28.0,64.28571428571429,-0.2857142857142857,0.0
6,B35_H2S,HEATER2_output_T_SP,50.0,78.0,64.1025641025641,-0.9487179487179487,35.8974358974359
6,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
6,B35_SO2,HEATER2_output_T_SP,57.0,74.0,77.02702702702703,-1.0,22.972972972972972
7,B35_H2S,air2_SP,17.0,36.0,47.22222222222222,0.1111111111111111,2.7777777777777777
7,B35_H2S,HEATER2_output_T_SP,52.0,78.0,66.66666666666667,-0.5897435897435898,30.76923076923077
7,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
7,B35_SO2,HEATER2_output_T_SP,59.0,72.0,81.94444444444444,-0.7222222222222222,29.166666666666668
8,B35_H2S,air2_SP,14.0,20.0,70.0,-0.4,0.0
8,B35_H2S,HEATER2_output_T_SP,56.0,76.0,73.6842105263158,-0.7894736842105263,34.21052631578947
8,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
8,B35_SO2,HEATER2_output_T_SP,60.0,74.0,81.08108108108108,-0.8378378378378378,18.91891891891892
9,B35_H2S,air2_SP,18.0,26.0,69.23076923076923,-0.38461538461538464,0.0
9,B35_H2S,HEATER2_output_T_SP,56.0,76.0,73.6842105263158,-0.7894736842105263,34.21052631578947
9,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
9,B35_SO2,HEATER2_output_T_SP,64.0,76.0,84.21052631578948,-0.7894736842105263,18.42105263157895
10,B35_H2S,air2_SP,6.0,20.0,30.0,0.4,0.0
10,B35_H2S,HEATER2_output_T_SP,65.0,80.0,81.25,-0.9,21.25
10,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
10,B35_SO2,HEATER2_output_T_SP,72.0,80.0,90.0,-0.9,15.0
11,B35_H2S,air2_SP,12.0,20.0,60.0,-0.2,0.0
11,B35_H2S,HEATER2_output_T_SP,53.0,76.0,69.73684210526316,-0.7368421052631579,32.89473684210526
11,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
11,B35_SO2,HEATER2_output_T_SP,63.0,74.0,85.13513513513513,-0.7837837837837838,20.27027027027027
12,B35_H2S,air2_SP,23.0,26.0,88.46153846153847,-0.8461538461538461,3.8461538461538463
12,B35_H2S,HEATER2_output_T_SP,55.0,72.0,76.38888888888889,-0.7222222222222222,31.944444444444443
12,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
12,B35_SO2,HEATER2_output_T_SP,60.0,72.0,83.33333333333333,-0.7777777777777778,16.666666666666668
13,B35_H2S,air2_SP,24.0,36.0,66.66666666666667,-0.3333333333333333,0.0
13,B35_H2S,HEATER2_output_T_SP,65.0,78.0,83.33333333333333,-0.48717948717948717,32.05128205128205
13,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
13,B35_SO2,HEATER2_output_T_SP,58.0,74.0,78.37837837837837,-0.5675675675675675,29.72972972972973
14,B35_H2S,air2_SP,27.0,40.0,67.5,-0.3,2.5
14,B35_H2S,HEATER2_output_T_SP,56.0,80.0,70.0,-0.6,32.5
14,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
14,B35_SO2,HEATER2_output_T_SP,62.0,70.0,88.57142857142857,-0.7714285714285715,17.142857142857142
15,B35_H2S,air2_SP,9.0,18.0,50.0,0.1111111111111111,5.555555555555555
15,B35_H2S,HEATER2_output_T_SP,67.0,80.0,83.75,-0.85,21.25
15,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
15,B35_SO2,HEATER2_output_T_SP,71.0,80.0,88.75,-0.85,11.25
16,B35_H2S,air2_SP,8.0,22.0,36.36363636363637,0.2727272727272727,0.0
16,B35_H2S,HEATER2_output_T_SP,62.0,80.0,77.5,-0.9,25.0
16,B35_SO2,air2_SP,79.0,80.0,98.75,1.0,98.75
16,B35_SO2,HEATER2_output_T_SP,71.0,80.0,88.75,-0.9,11.25
17,B35_H2S,air2_SP,17.0,34.0,50.0,0.058823529411764705,2.9411764705882355
17,B35_H2S,HEATER2_output_T_SP,61.0,76.0,80.26315789473684,-0.7894736842105263,27.63157894736842
17,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
17,B35_SO2,HEATER2_output_T_SP,71.0,78.0,91.02564102564102,-0.7948717948717948,19.23076923076923
18,B35_H2S,air2_SP,11.0,20.0,55.0,0.0,5.0
18,B35_H2S,HEATER2_output_T_SP,61.0,80.0,76.25,-0.85,28.75
18,B35_SO2,air2_SP,79.0,80.0,98.75,1.0,98.75
18,B35_SO2,HEATER2_output_T_SP,73.0,80.0,91.25,-0.85,11.25
19,B35_H2S,air2_SP,13.0,26.0,50.0,0.07692307692307693,3.8461538461538463
19,B35_H2S,HEATER2_output_T_SP,60.0,80.0,75.0,-0.85,27.5
19,B35_SO2,air2_SP,79.0,80.0,98.75,1.0,98.75
19,B35_SO2,HEATER2_output_T_SP,72.0,78.0,92.3076923076923,-0.8974358974358975,12.820512820512821
20,B35_H2S,air2_SP,22.0,30.0,73.33333333333333,-0.3333333333333333,6.666666666666667
20,B35_H2S,HEATER2_output_T_SP,63.0,74.0,85.13513513513513,-0.7297297297297297,22.972972972972972
20,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
20,B35_SO2,HEATER2_output_T_SP,63.0,68.0,92.6470588235294,-0.8235294117647058,16.176470588235293
21,B35_H2S,air2_SP,17.0,26.0,65.38461538461539,-0.23076923076923078,3.8461538461538463
21,B35_H2S,HEATER2_output_T_SP,60.0,78.0,76.92307692307692,-0.8461538461538461,30.76923076923077
21,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
21,B35_SO2,HEATER2_output_T_SP,70.0,74.0,94.5945945945946,-0.8918918918918919,10.81081081081081
22,B35_H2S,air2_SP,23.0,34.0,67.6470588235294,-0.29411764705882354,2.9411764705882355
22,B35_H2S,HEATER2_output_T_SP,59.0,74.0,79.72972972972973,-0.5675675675675675,33.78378378378378
22,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
22,B35_SO2,HEATER2_output_T_SP,63.0,72.0,87.5,-0.6111111111111112,20.833333333333332
23,B35_H2S,air2_SP,19.0,24.0,79.16666666666667,-0.6666666666666666,4.166666666666667
23,B35_H2S,HEATER2_output_T_SP,58.0,74.0,78.37837837837837,-0.7837837837837838,27.027027027027028
23,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
23,B35_SO2,HEATER2_output_T_SP,67.0,72.0,93.05555555555556,-0.9444444444444444,9.722222222222221
24,B35_H2S,air2_SP,9.0,20.0,45.0,0.2,5.0
24,B35_H2S,HEATER2_output_T_SP,57.0,74.0,77.02702702702703,-0.8378378378378378,28.37837837837838
24,B35_SO2,air2_SP,80.0,80.0,100.0,1.0,100.0
