plot_type,case,variable,split,n_samples,MAE,RMSE,R2,MAPE
rolling_time_series,R5,B35_H2S,train,1134,0.00035235373319473693,0.00046876399926217894,0.9162160884497427,4.015142433830329
rolling_time_series,R5,B35_H2S,valid,126,0.0003216180120364651,0.00039611531800996867,0.909191879904489,3.7144796123489345
rolling_time_series,R5,B35_H2S,test,126,0.00032475724416774327,0.0004129967233728873,0.6012086216507891,4.3266037692677575
rolling_time_series,R5,B35_H2S,all,1386,0.0003470508049960765,0.0004577743411647796,0.9143588413079846,4.016124116917242
rolling_time_series,R5,B35_SO2,train,1134,0.00015891694755325544,0.00022214160001409855,0.9655616842036745,11.598026882988755
rolling_time_series,R5,B35_SO2,valid,126,0.00013500542301960386,0.00019033215368454958,0.9720490783943141,11.365978736949398
rolling_time_series,R5,B35_SO2,test,126,0.00016320447286181412,0.0001984713183578293,0.6566316077243288,6.971339688105857
rolling_time_series,R5,B35_SO2,all,1386,0.00015713294762370155,0.00021736839425862587,0.9651507048785465,11.156323670177642
rolling_time_series,R5-1,B35_H2S,train,1134,0.0003758445874587694,0.0004972371636203035,0.9551802254373182,3.893431138271909
rolling_time_series,R5-1,B35_H2S,valid,126,0.0004080358657672364,0.0005092281441280703,0.27092750967677026,4.405256543807289
rolling_time_series,R5-1,B35_H2S,test,126,0.0005477198438913725,0.000708842689269079,0.9247240572735878,5.059602021660988
rolling_time_series,R5-1,B35_H2S,all,1386,0.0003943960906170484,0.000521098004468259,0.9485034399563311,4.04597625544686
rolling_time_series,R5-1,B35_SO2,train,1134,0.00015387306987538947,0.0002264437787647781,0.9817902695454531,8.544417959944711
rolling_time_series,R5-1,B35_SO2,valid,126,0.0001761109090800072,0.00020620427784995328,0.8851776974902026,10.967419816175255
rolling_time_series,R5-1,B35_SO2,test,126,9.824764633350187e-05,0.00011890311302038757,0.9510243969360243,12.892187381518122
rolling_time_series,R5-1,B35_SO2,all,1386,0.00015083783493563766,0.00021703565248825025,0.9813022965427525,9.159942621563252
rolling_time_series,R5-2,B35_H2S,train,1134,0.0003604311959586144,0.0004587551105422612,0.9157577011683878,3.9036873908946084
rolling_time_series,R5-2,B35_H2S,valid,126,0.0003918011747698015,0.0004996549047036251,0.8437239420019382,4.502895059999069
rolling_time_series,R5-2,B35_H2S,test,126,0.00034134905586428327,0.0004344591633187634,0.6831133924174395,4.045830514709472
rolling_time_series,R5-2,B35_H2S,all,1386,0.0003615482722056013,0.00046048551960490663,0.9078392337371837,3.9710829175236384
rolling_time_series,R5-2,B35_SO2,train,1134,0.00022218028499795052,0.0003063054274025392,0.9508583752289912,13.960117834486944
rolling_time_series,R5-2,B35_SO2,valid,126,0.00010982498614426042,0.00016089660275532192,0.9447457838081568,10.65821105224887
rolling_time_series,R5-2,B35_SO2,test,126,0.0002088807242075252,0.0003050400148716283,0.9209791418434838,10.539205641147849
rolling_time_series,R5-2,B35_SO2,all,1386,0.00021075711593939453,0.0002959336936110945,0.9511911416099702,13.348952473070838
rolling_time_series,R5-6,B35_H2S,train,1249,0.00033449991174955263,0.00042749864544925053,0.9356672642665442,4.066632403556243
rolling_time_series,R5-6,B35_H2S,valid,140,0.0003783619525480485,0.00047658450746375835,0.5460664885331796,4.900337038245983
rolling_time_series,R5-6,B35_H2S,test,140,0.0003887728145276763,0.0004810388725010621,0.9155967509754719,4.484929350716003
rolling_time_series,R5-6,B35_H2S,all,1529,0.00034348545269181994,0.0004373469843821506,0.929325875411081,4.181269566053908
rolling_time_series,R5-6,B35_SO2,train,1249,0.0001555972190344365,0.00021095343950487206,0.9669266240838484,10.162291889037098
rolling_time_series,R5-6,B35_SO2,valid,140,0.00016389575379481734,0.00019952242894059254,0.8784855526051882,10.67693915642404
rolling_time_series,R5-6,B35_SO2,test,140,0.00011650790222918087,0.00015909491180189257,0.9389692231770533,14.89520956245406
rolling_time_series,R5-6,B35_SO2,all,1529,0.00015277791917421254,0.00020570516370727664,0.9658076820096743,10.642775271452107
