Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00033470644088209975,0.00042326954684600884,0.9262048905122602,3.677567737495652
1,t+1,B35_SO2,0.0001417319004244204,0.00019824057541369418,0.9797013905489388,8.649484892705008
2,t+2,B35_H2S,0.00027955277473289125,0.0003550653707937224,0.948098537714131,3.078787036781202
2,t+2,B35_SO2,0.0001248462723781071,0.00017518798561209383,0.984145669921166,7.543023836192813
3,t+3,B35_H2S,0.00025635806369580166,0.00032472050041336447,0.9566102625906365,2.835683468782892
3,t+3,B35_SO2,0.0001245274335655352,0.0001755292091892028,0.984081660009394,7.3828508135637225
4,t+4,B35_H2S,0.00024651741213065173,0.0003090789989607123,0.9607149176728632,2.7247270004199313
4,t+4,B35_SO2,0.00011549314164635936,0.00016451278112631257,0.9860151996566726,6.969269719870081
5,t+5,B35_H2S,0.00024622170293707294,0.00030646024944721494,0.9614082287908842,2.7228452580109157
5,t+5,B35_SO2,0.00011159952426193191,0.00015830116795502138,0.9870496712881164,6.849707629494789
6,t+6,B35_H2S,0.00024689325599884694,0.00030652594962372783,0.9614298253303284,2.741945248946649
6,t+6,B35_SO2,0.00011107391630824839,0.00015851397389224584,0.9870133497068688,6.840059972609796
7,t+7,B35_H2S,0.00025186586185524314,0.00031253117624325735,0.9599554562288214,2.812280280191036
7,t+7,B35_SO2,0.0001158980671419013,0.00016327704670656058,0.9862196521124003,7.048965876166985
8,t+8,B35_H2S,0.0002679844768722193,0.00033116629696099007,0.9551103604696861,2.9972779492102792
8,t+8,B35_SO2,0.00012207539130108387,0.00017224931145322267,0.9846618700990174,7.332064790341559
9,t+9,B35_H2S,0.00028654982537681343,0.0003517846749264087,0.9494241099177305,3.202033988365412
9,t+9,B35_SO2,0.00012824873456814337,0.0001844789766405477,0.9824048920212398,7.750033709100361
10,t+10,B35_H2S,0.00029781880826566294,0.00036600850522998564,0.9453464107878146,3.3261944256831053
10,t+10,B35_SO2,0.0001362960438948453,0.00019391431001993092,0.980557810689909,8.228703796407478
11,t+11,B35_H2S,0.0003083052846451527,0.0003792172660756359,0.941440835643642,3.438980133738162
11,t+11,B35_SO2,0.00014330120787781544,0.00020376071995911152,0.9785325295755103,8.625681734462736
12,t+12,B35_H2S,0.0003203316911814116,0.0003949670154857947,0.9366014877990747,3.568671446943615
12,t+12,B35_SO2,0.00015289041195633686,0.00021740992787340214,0.9755601238614304,9.11016415948312
13,t+13,B35_H2S,0.00033207607216853384,0.0004099480765836548,0.9318320343054478,3.7011249317813957
13,t+13,B35_SO2,0.00016245669215247388,0.000228635016082508,0.9729721415393251,9.609691833582215
14,t+14,B35_H2S,0.0003355778448341746,0.00041781066011802075,0.9293222040777638,3.7324563550147274
14,t+14,B35_SO2,0.00016808422762407233,0.00023320298352596952,0.9718830800238264,10.039411864458952
15,t+15,B35_H2S,0.0003356731788487946,0.0004206658285037281,0.9284971737945115,3.7240726538904583
15,t+15,B35_SO2,0.00017342095020539451,0.00023697184822455886,0.9709693283242211,10.453130284121492
16,t+16,B35_H2S,0.00033851787592943097,0.000424082918294267,0.9274647964739487,3.7537177475454535
16,t+16,B35_SO2,0.00017594428177312163,0.00024200354368697095,0.9697265957444542,10.59933777305496
17,t+17,B35_H2S,0.0003421448998029957,0.00043141367438517695,0.9250396898850658,3.7842614500724943
17,t+17,B35_SO2,0.00018162689101672758,0.00025159973259126784,0.9672827323896793,10.909405131252605
18,t+18,B35_H2S,0.0003452210072799518,0.0004364003869634578,0.9233973481446422,3.8001856613642713
18,t+18,B35_SO2,0.00018649374874386417,0.00025573383112976805,0.966204440048816,11.424176623774887
