Horizon,Step,Variable,MAE,RMSE,R2,MAPE
1,t+1,B35_H2S,0.00032422698995604796,0.00042063657077819397,0.9332837103291828,3.765516585996492
1,t+1,B35_SO2,0.00011356815925562508,0.00015973865675230774,0.9822088257975117,7.90277626874268
2,t+2,B35_H2S,0.0002668066461678053,0.0003505113638698208,0.9536781315465309,3.1087461699639287
2,t+2,B35_SO2,9.129774816780888e-05,0.00013075466677007734,0.9880885238944136,6.132282833893001
3,t+3,B35_H2S,0.00024859383062272736,0.0003242211833759836,0.9603719147631821,2.903163302709715
3,t+3,B35_SO2,8.599050288186871e-05,0.00012175372064403618,0.9896797966439385,5.911605669469521
4,t+4,B35_H2S,0.00024098464145282255,0.0003117654967552756,0.963361620807946,2.7954705363594203
4,t+4,B35_SO2,8.391567286378743e-05,0.0001184856516583244,0.9902336964033561,5.829038668200047
5,t+5,B35_H2S,0.00024152720082166215,0.00031103277557168916,0.9635367809046185,2.78378332219531
5,t+5,B35_SO2,8.582540840778749e-05,0.00011810758356486092,0.9903032403338641,5.988136755364295
6,t+6,B35_H2S,0.0002432114831167811,0.00031362810950775474,0.9629295698316089,2.805731138195308
6,t+6,B35_SO2,8.947151133703565e-05,0.00012173959155525558,0.9897055250905574,6.250897280693396
7,t+7,B35_H2S,0.00025239115807437876,0.000326047957756943,0.9599436719225962,2.9186637183998903
7,t+7,B35_SO2,9.239342099871093e-05,0.00012672065843242564,0.9888544582031316,6.576776495720329
8,t+8,B35_H2S,0.00026605942448522694,0.0003462806648684609,0.9548321632844385,3.0828154078502155
8,t+8,B35_SO2,9.739868767446123e-05,0.00013379400915897272,0.9875850834527315,6.945935317863891
9,t+9,B35_H2S,0.00028207488395752686,0.0003676637570148032,0.9491002199698843,3.2638468433749646
9,t+9,B35_SO2,0.0001032780393278884,0.000142391018253389,0.9859490706479407,7.354212285732182
10,t+10,B35_H2S,0.0002898292001526278,0.0003812243943008933,0.9452976342713164,3.3487649045842756
10,t+10,B35_SO2,0.00010771208815330578,0.0001483460316996726,0.9847604273338619,7.71621572881869
11,t+11,B35_H2S,0.0002990442214056771,0.0003901224182019383,0.9427371223385269,3.45331089066958
11,t+11,B35_SO2,0.00011431934734423295,0.0001553971355443473,0.9832891785131561,8.145048546325603
12,t+12,B35_H2S,0.00030791475786537945,0.0003964915021312856,0.9408708593564534,3.5580959405449644
12,t+12,B35_SO2,0.00012009677398664199,0.00016280690775733345,0.9816704214166874,8.604661992736673
13,t+13,B35_H2S,0.0003150869964483878,0.0004015480597673757,0.9393714975220431,3.648602448935496
13,t+13,B35_SO2,0.0001227157372583275,0.00016629157184480222,0.9808905154789156,8.89319026665139
14,t+14,B35_H2S,0.0003204133904912247,0.00040287272084925667,0.9389798839456454,3.715333470695371
14,t+14,B35_SO2,0.00012571184865489785,0.0001721144842279128,0.9795425989974703,9.100979696435111
15,t+15,B35_H2S,0.0003215670403671847,0.00040345548124358507,0.9388052984714343,3.7279232852831754
15,t+15,B35_SO2,0.0001273122304046251,0.00017500053171025238,0.9788645385273117,9.201739766767421
16,t+16,B35_H2S,0.0003233250685052044,0.0004076274003202413,0.9375279696910547,3.751569078517624
16,t+16,B35_SO2,0.00012831309191885457,0.00017598699177466347,0.978638844160955,9.326250232224197
17,t+17,B35_H2S,0.00032785208707714395,0.00041670028738640254,0.9347027698689955,3.8023360260298746
17,t+17,B35_SO2,0.00013070688445648992,0.00017747250946146097,0.9782889489680567,9.717792799743261
18,t+18,B35_H2S,0.00033189748311989836,0.0004277946954584167,0.9311536335234377,3.827110653866587
18,t+18,B35_SO2,0.00013339672311962693,0.0001796980285884326,0.9777517835199003,10.206782302762068
