model,case,target,evaluation,RMSE,R2
No-Gain,R5,B35_H2S,H1,0.0003139696344915,0.7872428755979017
No-Gain,R5,B35_H2S,H18,0.0004917445020485,0.4891267490406406
No-Gain,R5,B35_H2S,TS,0.0004879759970407,0.4432637900700908
No-Gain,R5,B35_SO2,H1,0.0001698452598312,0.7796418782257071
No-Gain,R5,B35_SO2,H18,0.0002853717249061,0.1605745511888946
No-Gain,R5,B35_SO2,TS,0.0002516873082642,0.447811397667238
No-Gain,R5-1,B35_H2S,H1,0.0006907889918967,0.9264890917391008
No-Gain,R5-1,B35_H2S,H18,0.000875124167648,0.8984253045052897
No-Gain,R5-1,B35_H2S,TS,0.0009669950627702,0.8599106928431909
No-Gain,R5-1,B35_SO2,H1,0.0001597535848107,0.9040252921440708
No-Gain,R5-1,B35_SO2,H18,0.0002710802593249,0.7507675102293697
No-Gain,R5-1,B35_SO2,TS,0.0003297227615874,0.6233905619891832
No-Gain,R5-2,B35_H2S,H1,0.0004675144009855,0.5696119116087566
No-Gain,R5-2,B35_H2S,H18,0.0006584131849983,0.3602306706865726
No-Gain,R5-2,B35_H2S,TS,0.0008104647530299,-0.1027427891906664
No-Gain,R5-2,B35_SO2,H1,0.0001910956617069,0.9385035508501828
No-Gain,R5-2,B35_SO2,H18,0.0003900098304797,0.8845127211606335
No-Gain,R5-2,B35_SO2,TS,0.0002997270290741,0.9237078361619516
No-Gain,R5-6,B35_H2S,H1,0.0004841105000217,0.9039057527142484
No-Gain,R5-6,B35_H2S,H18,0.0006894593461385,0.8052370530738011
No-Gain,R5-6,B35_H2S,TS,0.0006105279344582,0.8640403937032671
No-Gain,R5-6,B35_SO2,H1,0.0002518834597107,0.8531934720218511
No-Gain,R5-6,B35_SO2,H18,0.0002472698409903,0.7982054789810078
No-Gain,R5-6,B35_SO2,TS,0.0002766760616977,0.8154221904423643
No-Gain,R5-11,B35_H2S,H1,0.0003477019388738,0.5016681773236656
No-Gain,R5-11,B35_H2S,H18,0.0003125075736128,0.4842601880581566
No-Gain,R5-11,B35_H2S,TS,0.0004616930436438,0.2304490648289449
No-Gain,R5-11,B35_SO2,H1,0.0005625671726455,0.8131757053109503
No-Gain,R5-11,B35_SO2,H18,0.0009316489658253,-5.925061474984898
No-Gain,R5-11,B35_SO2,TS,0.0012578148585898,-0.0682679117994924
No-Gain,R5-12,B35_H2S,H1,0.002515615116021,-2.942013903432797
No-Gain,R5-12,B35_H2S,H18,0.0028832333994317,-5.145265426064301
No-Gain,R5-12,B35_H2S,TS,0.0029949718486205,-5.07210530557239
No-Gain,R5-12,B35_SO2,H1,0.0010240065293416,0.7348025729043866
No-Gain,R5-12,B35_SO2,H18,0.0004845429408458,0.9185352686288084
No-Gain,R5-12,B35_SO2,TS,0.0006589858377795,0.8774920150739787
Gain,R5,B35_H2S,H1,0.0003148698733936,0.7860210578976767
