Distribution,Gain pair,Model,Raw KCI (%)
in_range,H$_2$S × air2,No-Gain,85.97949570518149
in_range,H$_2$S × air2,Gain0.05+SS0.001,85.32834580216127
in_range,H$_2$S × air2,Gain0.05+SS0.01,85.85480742587974
in_range,H$_2$S × air2,Gain0.05+SS0.05,85.89637018564699
in_range,H$_2$S × air2,Difficult-GradNorm,97.63092269326684
in_range,H$_2$S × T2,No-Gain,85.06461838575957
in_range,H$_2$S × T2,Gain0.05+SS0.001,92.30675445013412
in_range,H$_2$S × T2,Gain0.05+SS0.01,92.91636186296026
in_range,H$_2$S × T2,Gain0.05+SS0.05,93.37966349670812
in_range,H$_2$S × T2,Difficult-GradNorm,98.0248719824433
in_range,SO$_2$ × air2,No-Gain,99.88420565076424
in_range,SO$_2$ × air2,Gain0.05+SS0.001,100.0
in_range,SO$_2$ × air2,Gain0.05+SS0.01,100.0
in_range,SO$_2$ × air2,Gain0.05+SS0.05,100.0
in_range,SO$_2$ × air2,Difficult-GradNorm,100.0
in_range,SO$_2$ × T2,No-Gain,68.17502986857825
in_range,SO$_2$ × T2,Gain0.05+SS0.001,85.52867383512545
in_range,SO$_2$ × T2,Gain0.05+SS0.01,94.36977299880526
in_range,SO$_2$ × T2,Gain0.05+SS0.05,98.77538829151732
in_range,SO$_2$ × T2,Difficult-GradNorm,99.59677419354838
soft_ood,H$_2$S × air2,No-Gain,74.48938726471766
soft_ood,H$_2$S × air2,Gain0.05+SS0.001,72.64717661193433
soft_ood,H$_2$S × air2,Gain0.05+SS0.01,75.65078093712455
soft_ood,H$_2$S × air2,Gain0.05+SS0.05,75.89106928313977
soft_ood,H$_2$S × air2,Difficult-GradNorm,97.4169002803364
soft_ood,H$_2$S × T2,No-Gain,85.91071428571429
soft_ood,H$_2$S × T2,Gain0.05+SS0.001,87.21428571428571
soft_ood,H$_2$S × T2,Gain0.05+SS0.01,89.58928571428571
soft_ood,H$_2$S × T2,Gain0.05+SS0.05,89.875
soft_ood,H$_2$S × T2,Difficult-GradNorm,97.67857142857144
soft_ood,SO$_2$ × air2,No-Gain,98.72468117029256
soft_ood,SO$_2$ × air2,Gain0.05+SS0.001,100.0
soft_ood,SO$_2$ × air2,Gain0.05+SS0.01,100.0
soft_ood,SO$_2$ × air2,Gain0.05+SS0.05,99.84996249062266
soft_ood,SO$_2$ × air2,Difficult-GradNorm,98.40585146286573
soft_ood,SO$_2$ × T2,No-Gain,70.0
soft_ood,SO$_2$ × T2,Gain0.05+SS0.001,79.49450549450549
soft_ood,SO$_2$ × T2,Gain0.05+SS0.01,96.10989010989012
soft_ood,SO$_2$ × T2,Gain0.05+SS0.05,98.21978021978022
soft_ood,SO$_2$ × T2,Difficult-GradNorm,99.12087912087912
