Distribution,Gain pair,Model,Raw KCI (%)
in_range,H$_2$S × air2,No-Gain,85.97949570518149
in_range,H$_2$S × air2,Gain+SS=0.001,85.32834580216127
in_range,H$_2$S × air2,Gain+SS=0.01,85.85480742587974
in_range,H$_2$S × air2,Gain+SS=0.05,85.89637018564699
in_range,H$_2$S × T2,No-Gain,85.06461838575957
in_range,H$_2$S × T2,Gain+SS=0.001,92.30675445013412
in_range,H$_2$S × T2,Gain+SS=0.01,92.91636186296026
in_range,H$_2$S × T2,Gain+SS=0.05,93.37966349670812
in_range,SO$_2$ × air2,No-Gain,99.88420565076424
in_range,SO$_2$ × air2,Gain+SS=0.001,100.0
in_range,SO$_2$ × air2,Gain+SS=0.01,100.0
in_range,SO$_2$ × air2,Gain+SS=0.05,100.0
in_range,SO$_2$ × T2,No-Gain,68.17502986857825
in_range,SO$_2$ × T2,Gain+SS=0.001,85.52867383512545
in_range,SO$_2$ × T2,Gain+SS=0.01,94.36977299880526
in_range,SO$_2$ × T2,Gain+SS=0.05,98.77538829151732
out_range,H$_2$S × air2,No-Gain,72.46153846153847
out_range,H$_2$S × air2,Gain+SS=0.001,65.07692307692308
out_range,H$_2$S × air2,Gain+SS=0.01,71.38461538461539
out_range,H$_2$S × air2,Gain+SS=0.05,69.38461538461539
out_range,H$_2$S × T2,No-Gain,76.32408575031526
out_range,H$_2$S × T2,Gain+SS=0.001,74.96847414880202
out_range,H$_2$S × T2,Gain+SS=0.01,78.18411097099622
out_range,H$_2$S × T2,Gain+SS=0.05,77.80580075662043
out_range,SO$_2$ × air2,No-Gain,92.3348300192431
out_range,SO$_2$ × air2,Gain+SS=0.001,98.17190506735086
out_range,SO$_2$ × air2,Gain+SS=0.01,99.45477870429762
out_range,SO$_2$ × air2,Gain+SS=0.05,96.9852469531751
out_range,SO$_2$ × T2,No-Gain,56.309263311451495
out_range,SO$_2$ × T2,Gain+SS=0.001,64.87964989059081
out_range,SO$_2$ × T2,Gain+SS=0.01,88.29321663019694
out_range,SO$_2$ × T2,Gain+SS=0.05,97.81181619256016
