model,case,target,evaluation,RMSE
Gain+SS=0.001,R5-11,B35_H2S,H1,0.0003863060629675
Gain+SS=0.01,R5-11,B35_H2S,H1,0.0002707995155198
Gain+SS=0.05,R5-11,B35_H2S,H1,0.0002791628626987
No-Gain,R5-11,B35_H2S,H1,0.0003477019388738
Gain+SS=0.001,R5-11,B35_H2S,H18,0.0003625885295716
Gain+SS=0.01,R5-11,B35_H2S,H18,0.000226588273296
Gain+SS=0.05,R5-11,B35_H2S,H18,0.0002901287633499
No-Gain,R5-11,B35_H2S,H18,0.0003125075736128
Gain+SS=0.001,R5-11,B35_H2S,TS,0.0005310347564231
Gain+SS=0.01,R5-11,B35_H2S,TS,0.0003274967221426
Gain+SS=0.05,R5-11,B35_H2S,TS,0.0003011428294136
No-Gain,R5-11,B35_H2S,TS,0.0004616930436438
Gain+SS=0.001,R5-11,B35_SO2,H1,0.0005773902408528
Gain+SS=0.01,R5-11,B35_SO2,H1,0.0006497120221468
Gain+SS=0.05,R5-11,B35_SO2,H1,0.0012975759039998
No-Gain,R5-11,B35_SO2,H1,0.0005625671726455
Gain+SS=0.001,R5-11,B35_SO2,H18,0.0008754510151938
Gain+SS=0.01,R5-11,B35_SO2,H18,0.0013653725944242
Gain+SS=0.05,R5-11,B35_SO2,H18,0.0023296292587324
No-Gain,R5-11,B35_SO2,H18,0.0009316489658253
Gain+SS=0.001,R5-11,B35_SO2,TS,0.0011593141610002
Gain+SS=0.01,R5-11,B35_SO2,TS,0.0014502432004776
Gain+SS=0.05,R5-11,B35_SO2,TS,0.0021816721976034
No-Gain,R5-11,B35_SO2,TS,0.0012578148585898
Gain+SS=0.001,R5-12,B35_H2S,H1,0.0025733387780762
Gain+SS=0.01,R5-12,B35_H2S,H1,0.0021359725424288
Gain+SS=0.05,R5-12,B35_H2S,H1,0.0023258434587163
No-Gain,R5-12,B35_H2S,H1,0.002515615116021
Gain+SS=0.001,R5-12,B35_H2S,H18,0.0029791621613566
Gain+SS=0.01,R5-12,B35_H2S,H18,0.002578433942237
Gain+SS=0.05,R5-12,B35_H2S,H18,0.0025915723010636
No-Gain,R5-12,B35_H2S,H18,0.0028832333994317
Gain+SS=0.001,R5-12,B35_H2S,TS,0.0031475515655718
Gain+SS=0.01,R5-12,B35_H2S,TS,0.0027821800826133
Gain+SS=0.05,R5-12,B35_H2S,TS,0.0029999313920417
No-Gain,R5-12,B35_H2S,TS,0.0029949718486205
Gain+SS=0.001,R5-12,B35_SO2,H1,0.0008228211976752
Gain+SS=0.01,R5-12,B35_SO2,H1,0.00084485715364
Gain+SS=0.05,R5-12,B35_SO2,H1,0.0013354365274517
No-Gain,R5-12,B35_SO2,H1,0.0010240065293416
Gain+SS=0.001,R5-12,B35_SO2,H18,0.0003824308030108
Gain+SS=0.01,R5-12,B35_SO2,H18,0.0004526159289556
Gain+SS=0.05,R5-12,B35_SO2,H18,0.0007698996115521
No-Gain,R5-12,B35_SO2,H18,0.0004845429408458
Gain+SS=0.001,R5-12,B35_SO2,TS,0.0006688106727606
Gain+SS=0.01,R5-12,B35_SO2,TS,0.0006217251570992
Gain+SS=0.05,R5-12,B35_SO2,TS,0.0008887664065018
No-Gain,R5-12,B35_SO2,TS,0.0006589858377795
