case,target,evaluation,model,RMSE,No-Gain RMSE,RMSE / No-Gain RMSE
R5-11,B35_H2S,H1,Gain+SS=0.001,0.0003863060629675,0.0003477019388738,1.1110264849794569
R5-11,B35_H2S,H1,Gain+SS=0.01,0.0002707995155198,0.0003477019388738,0.7788265903748322
R5-11,B35_H2S,H1,Gain+SS=0.05,0.0002791628626987,0.0003477019388738,0.8028797987233065
R5-11,B35_H2S,H1,No-Gain,0.0003477019388738,0.0003477019388738,1.0
R5-11,B35_H2S,H18,Gain+SS=0.001,0.0003625885295716,0.0003125075736128,1.1602551751940924
R5-11,B35_H2S,H18,Gain+SS=0.01,0.000226588273296,0.0003125075736128,0.725064902192563
R5-11,B35_H2S,H18,Gain+SS=0.05,0.0002901287633499,0.0003125075736128,0.9283895426783239
R5-11,B35_H2S,H18,No-Gain,0.0003125075736128,0.0003125075736128,1.0
R5-11,B35_H2S,TS,Gain+SS=0.001,0.0005310347564231,0.0004616930436438,1.1501900748428815
R5-11,B35_H2S,TS,Gain+SS=0.01,0.0003274967221426,0.0004616930436438,0.709338654006809
R5-11,B35_H2S,TS,Gain+SS=0.05,0.0003011428294136,0.0004616930436438,0.652257671107417
R5-11,B35_H2S,TS,No-Gain,0.0004616930436438,0.0004616930436438,1.0
R5-11,B35_SO2,H1,Gain+SS=0.001,0.0005773902408528,0.0005625671726455,1.0263489747145995
R5-11,B35_SO2,H1,Gain+SS=0.01,0.0006497120221468,0.0005625671726455,1.1549056783592562
R5-11,B35_SO2,H1,Gain+SS=0.05,0.0012975759039998,0.0005625671726455,2.3065261662849696
R5-11,B35_SO2,H1,No-Gain,0.0005625671726455,0.0005625671726455,1.0
R5-11,B35_SO2,H18,Gain+SS=0.001,0.0008754510151938,0.0009316489658253,0.9396790500575319
R5-11,B35_SO2,H18,Gain+SS=0.01,0.0013653725944242,0.0009316489658253,1.4655440455672986
R5-11,B35_SO2,H18,Gain+SS=0.05,0.0023296292587324,0.0009316489658253,2.5005440291222785
R5-11,B35_SO2,H18,No-Gain,0.0009316489658253,0.0009316489658253,1.0
R5-11,B35_SO2,TS,Gain+SS=0.001,0.0011593141610002,0.0012578148585898,0.9216890332333694
R5-11,B35_SO2,TS,Gain+SS=0.01,0.0014502432004776,0.0012578148585898,1.1529862209638237
R5-11,B35_SO2,TS,Gain+SS=0.05,0.0021816721976034,0.0012578148585898,1.7344938984497158
R5-11,B35_SO2,TS,No-Gain,0.0012578148585898,0.0012578148585898,1.0
R5-12,B35_H2S,H1,Gain+SS=0.001,0.0025733387780762,0.002515615116021,1.0229461421532968
R5-12,B35_H2S,H1,Gain+SS=0.01,0.0021359725424288,0.002515615116021,0.8490855889780595
R5-12,B35_H2S,H1,Gain+SS=0.05,0.0023258434587163,0.002515615116021,0.9245625230600197
R5-12,B35_H2S,H1,No-Gain,0.002515615116021,0.002515615116021,1.0
R5-12,B35_H2S,H18,Gain+SS=0.001,0.0029791621613566,0.0028832333994317,1.0332712439942628
R5-12,B35_H2S,H18,Gain+SS=0.01,0.002578433942237,0.0028832333994317,0.8942855416232423
R5-12,B35_H2S,H18,Gain+SS=0.05,0.0025915723010636,0.0028832333994317,0.898842355799018
R5-12,B35_H2S,H18,No-Gain,0.0028832333994317,0.0028832333994317,1.0
R5-12,B35_H2S,TS,Gain+SS=0.001,0.0031475515655718,0.0029949718486205,1.050945292531407
R5-12,B35_H2S,TS,Gain+SS=0.01,0.0027821800826133,0.0029949718486205,0.9289503284963385
R5-12,B35_H2S,TS,Gain+SS=0.05,0.0029999313920417,0.0029949718486205,1.001655956607233
R5-12,B35_H2S,TS,No-Gain,0.0029949718486205,0.0029949718486205,1.0
R5-12,B35_SO2,H1,Gain+SS=0.001,0.0008228211976752,0.0010240065293416,0.8035312022905216
R5-12,B35_SO2,H1,Gain+SS=0.01,0.00084485715364,0.0010240065293416,0.82505055332334
R5-12,B35_SO2,H1,Gain+SS=0.05,0.0013354365274517,0.0010240065293416,1.3041289183090838
R5-12,B35_SO2,H1,No-Gain,0.0010240065293416,0.0010240065293416,1.0
R5-12,B35_SO2,H18,Gain+SS=0.001,0.0003824308030108,0.0004845429408458,0.7892609112068439
R5-12,B35_SO2,H18,Gain+SS=0.01,0.0004526159289556,0.0004845429408458,0.9341090144983448
R5-12,B35_SO2,H18,Gain+SS=0.05,0.0007698996115521,0.0004845429408458,1.5889192611251173
R5-12,B35_SO2,H18,No-Gain,0.0004845429408458,0.0004845429408458,1.0
R5-12,B35_SO2,TS,Gain+SS=0.001,0.0006688106727606,0.0006589858377795,1.0149090229529143
R5-12,B35_SO2,TS,Gain+SS=0.01,0.0006217251570992,0.0006589858377795,0.9434575395340019
R5-12,B35_SO2,TS,Gain+SS=0.05,0.0008887664065018,0.0006589858377795,1.348688174387119
R5-12,B35_SO2,TS,No-Gain,0.0006589858377795,0.0006589858377795,1.0
